geo,ACS_INET_pct,MIS_USE_pct,MAC_PFRM_pct,MAC_ROB_pct,MAC_LSM_pct,avg_ha,avg_eur_th,lsu_per_farm,n_farms,hh_internet
AT11,85.9073359073359,16.023166023166,19.3050193050193,0.772200772200772,8.88030888030888,34.2258687258687,86.9568204633205,5.88223938223938,5180,96.38
AT12,91.4381022979985,23.943661971831,19.4217939214233,3.15048183839881,34.0622683469236,32.6326908821349,86.4502342475908,19.2557449962936,26980,94.95
AT13,86.9565217391304,19.5652173913043,30.4347826086957,6.52173913043478,1.08695652173913,13.6521739130435,265.957369565217,0.173913043478261,460,98
AT21,88.4233737596472,14.1124586549063,8.71003307607497,2.20507166482911,46.6372657111356,22.5446527012128,42.6872899669239,19.3428886438809,9070,89.37
AT22,89.002557544757,15.5498721227621,14.8849104859335,3.63171355498721,38.2608695652174,17.7161125319693,67.2322644501279,23.4419437340153,19550,94.65
AT31,93.8923897237033,23.3640329617063,19.583131362094,6.73776054289869,54.6291808046534,24.1885603490063,89.7826093068347,34.1459040232671,20630,94.89
AT32,92.3538230884558,13.1934032983508,8.54572713643178,5.09745127436282,37.0314842578711,24.208395802099,51.1059700149925,19.7286356821589,6670,93.98
AT33,88.4811416921509,14.8827726809378,11.0091743119266,1.93679918450561,34.6585117227319,23.0897043832824,40.9884485219164,14.8399592252803,9810,96.28
AT34,84.7583643122677,15.9851301115242,7.0631970260223,3.3457249070632,33.457249070632,25.9851301115242,56.1990074349442,20.4200743494424,2690,96.76
BE10,85.7142857142857,28.5714285714286,42.8571428571429,7.14285714285714,7.14285714285714,41.4285714285714,103.511714285714,2,70,92.03
BE21,84.9397590361446,27.1084337349398,51.2048192771084,27.1084337349398,36.4457831325301,27.9819277108434,513.821665662651,166.602409638554,3320,96.7
BE22,79.9256505576208,22.3048327137546,57.2490706319703,19.3308550185874,27.1375464684015,31.2899628252788,315.664018587361,77.1263940520446,2690,94.97
BE23,78.3132530120482,16.3511187607573,54.0447504302926,18.9328743545611,30.2925989672978,26.4853700516351,243.43295869191,88.1067125645439,5810,95.69
BE24,75.7936507936508,14.2857142857143,59.5238095238095,15.4761904761905,19.4444444444444,33.4206349206349,187.588801587302,41.3650793650794,2520,95.64
BE25,82.8609986504723,19.0283400809717,57.8947368421053,31.3090418353576,35.7624831309042,27.1835357624831,325.347906882591,151.670715249663,7410,93.71
BE31,77.2277227722772,22.7722772277228,61.3861386138614,17.8217821782178,14.8514851485149,64.9405940594059,226.881346534653,32.9009900990099,1010,96.37
