geo,ACS_INET_pct,MIS_USE_pct,MAC_PFRM_pct,MAC_ROB_pct,MAC_LSM_pct,avg_ha,avg_eur_th,lsu_per_farm,n_farms,hh_internet
AT,90.4790182106097,19.0914489311164,15.7858273950911,3.81037212984956,38.9944576405384,25.4524940617577,72.7744713974663,21.9748614410135,101040,95.45
BE,76.029197080292,19.8248175182482,49.0510948905109,20.5839416058394,29.2262773722628,39.5159124087591,275.471519708029,99.1106569343066,34250,94.68
CY,4.59088069956277,1.12429731417864,0.124921923797626,0.374765771392879,1.37414116177389,4.05527795128045,26.9255924422236,7.45377888819488,32020,97.48
CZ,93.5483870967742,12.7524871872174,4.85378353934278,3.406692794694,8.41121495327103,106.156466686765,197.543681037082,49.2062104311125,33170,95.47
DE,96.5177836163288,22.469707070311,46.7471863848477,18.2855574291204,30.5282145798204,65.0387827928317,197.382060899573,58.8992980667425,255010,93.63
DK,100,15.8735228361546,35.5158096454807,20.9837112743532,23.730437559885,83.9112104758863,343.629058767167,114.733312040882,31310,97.42
EE,87.5816993464052,34.3604108309991,31.5592903828198,8.02987861811391,11.577964519141,91.3501400560224,96.4855135387488,25.8655462184874,10710,95.4
FI,89.2358646794417,57.3219777620061,64.6794416844098,19.1388691743553,14.9278448071919,53.5682517151644,84.3933520227111,21.1258575822096,42270,97.62
FR,77.7697622152548,59.9567159623762,46.5941566549208,22.4216864126967,24.8799977803058,75.473044588108,193.656876002331,54.3183041536028,360410,94.43
HR,64.6802424572635,9.38500306476878,12.5587414016209,1.6141115575836,11.8504392835252,8.52496083906559,15.6754226656678,4.64544030511476,146830,87.91
HU,78.7122969837587,8.9907192575406,8.31048302045982,2.19890318498207,13.7629192153554,27.3153343176545,42.711039390424,10.3583104830205,189640,93.9
LU,87.9781420765027,39.344262295082,66.120218579235,23.4972677595628,46.448087431694,72.6830601092896,215.061896174863,86.0819672131148,1830,99.07
LV,90.7785068274517,7.23532541230715,5.86983507714134,3.12112076609328,4.48661110125909,34.9253413725838,31.5423454513212,7.89306614647987,56390,94.08
MT,18.4210526315789,8.1453634085213,15.6641604010025,1.2531328320802,3.50877192982456,1.11278195488722,12.86864160401,3.6390977443609,7980,97.77
NL,56.4082278481013,56.7444620253165,14.8338607594937,34.0783227848101,36.4517405063291,35.7225079113924,544.798056764241,118.279469936709,50560,99.28
NO,100,100,47.1739130434783,22.1195652173913,26.9565217391304,26.6385869565217,108.688616847826,33.3366847826087,36800,99.04
PT,2.48565965583174,2.09177820267686,9.36520076481836,0.32887189292543,1.87380497131931,14.7653919694073,31.6925530783939,8.46768642447419,261500,91.08
RO,20.0954059649712,0.379455542499021,0.620418555201164,1.35170107996195,2.43306194393151,4.3892094734486,5.16035804515696,1.47348007945834,2859360,95.47
SE,87.7514687555635,28.8232152394517,15.9693786718889,12.1951219512195,25.2447925939113,53.1262239629696,108.177709275414,29.0728146697525,56170,95.72
SK,95.7191780821918,6.33561643835616,1.48401826484018,1.31278538812785,2.85388127853881,103.204337899543,128.579692351598,30.4817351598174,17520,92.49
